[2026-04-01T13:27:14.954Z] GET http://localhost:8766/index.html → 200 (6ms, 24125B)
[2026-04-01T13:27:14.967Z] GET http://localhost:8766/css/shared.css → 200 (1ms, 21658B)
[2026-04-01T13:27:14.968Z] GET http://localhost:8766/js/products-data.js → 200 (3ms, 19632B)
[2026-04-01T13:27:14.968Z] GET http://localhost:8766/js/cart.js → 200 (3ms, 4468B)
[2026-04-01T13:27:15.030Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=other\products\VAL100170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.030Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=other\products\PHALE01170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.030Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV100-11170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.030Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV93-21170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.186Z] GET http://localhost:8766/products.html → 200 (1ms, 21434B)
[2026-04-01T13:27:15.189Z] GET http://localhost:8766/css/shared.css → 200 (?ms, 21658B)
[2026-04-01T13:27:15.189Z] GET http://localhost:8766/js/products-data.js → 200 (?ms, 19632B)
[2026-04-01T13:27:15.190Z] GET http://localhost:8766/js/cart.js → 200 (?ms, 4468B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=other\products\VAL100170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=other\products\PHALE01170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=other\products\TROP07170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\19101712439756682170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV84-11170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV83-11170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV100-11170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\1709144456682170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\LOC-10762170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\LOC-10772170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV104-11170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=other\products\T103-1A170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\440901444456682170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV104-21170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV94-11170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV94-21170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\1009194456682170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.202Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\1709019456682170170 → pending (?ms, ?B)
[2026-04-01T13:27:15.336Z] GET http://localhost:8766/contact.html → 200 (1ms, 11102B)
[2026-04-01T13:27:15.339Z] GET http://localhost:8766/css/shared.css → 200 (?ms, 21658B)
[2026-04-01T13:27:15.340Z] GET http://localhost:8766/js/cart.js → 200 (?ms, 4468B)
[2026-04-01T13:27:15.440Z] GET http://localhost:8766/faq.html → 200 (?ms, 12898B)
[2026-04-01T13:27:15.442Z] GET http://localhost:8766/css/shared.css → 200 (?ms, 21658B)
[2026-04-01T13:27:15.442Z] GET http://localhost:8766/js/cart.js → 200 (?ms, 4468B)
