[2026-04-01T04:21:30.913Z] GET https://www.cupertinoflorist.com/products.aspx?category=6&page=1 → pending (?ms, ?B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/css/css.css → 200 (63ms, 26541B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/embedflash.js → 200 (122ms, 474B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=ld794tzIc0p5zkL-imkClRFJoWUgTeW44tXwdTOr3O2_vk9KD5Z-Q5EvuoZpJbRawCSsARXzpPEdtML1mxz5q41OvtNV2S7Mh6tcBAKK1xI1&t=638259114740000000 → 200 (197ms, 23063B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=3U7VxeBzNLyX249vIBOw4sp4fxJodIQZ2agzv2NnkY5NSshYmcQkBDs26ahP5Ml2QyIX0HCh_hfc6Mun7G5iRaddzqPj97S6KGGGUVlLzKA1&t=638259114740000000 → 200 (199ms, 33253B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/images/logo.gif → 200 (164ms, 4078B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/lafscom/images/other/search.gif → 200 (169ms, 3073B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=QAe-09BLLXfitpaLClo7DdiqBgdzCJCgY7Ks_6jrESYCEN9ZpberrU528v1X4oqBYIfkXW5aEacBSrCg80pVuwos8GETsGgmHLb4rf1nGdg1&t=638259114740000000 → 200 (232ms, 43B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=PDtlFdKsc6NXiTLOWTtqOHkW2yCipPachvQpln9E7rLO7mC5ZjOUFYOTIRTH6t0pQDcye9Gsf5nG3iynfeOp3vo1JpRmlNqMbgBk-yKAxlo1&t=638259114740000000 → 200 (172ms, 64B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=dYRoCVP8SXu_xGJKzi5QtxQ4tghYKIZYJLYitFuf4JmSSRxFva46-nfLgFiMLnPQmeBzTRDMga_VvpUeOQ-nFJfg2pvJGHeYf1hyc358fe41&t=638259114740000000 → 200 (172ms, 61B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=GO0AdwTK8bqsE4lxBjpJ2Z60u4UQnFYtjlLoWQTLjjE2onjojtbdH5kxMht8ocMae-h98IxDCqVfXugjAeky7vDXDFRH2bRXCv2G82l3_xE1&t=638259114740000000 → 200 (232ms, 60B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=other\products\VAL100170170 → 200 (389ms, 7463B)
[2026-04-01T04:21:31.586Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=other\products\PHALE01170170 → 200 (413ms, 5191B)
[2026-04-01T04:21:31.587Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=other\products\TROP07170170 → pending (?ms, ?B)
[2026-04-01T04:21:31.587Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\19101712439756682170170 → pending (?ms, ?B)
[2026-04-01T04:21:31.587Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\94181712439756682170170 → pending (?ms, ?B)
[2026-04-01T04:21:31.587Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\14181712439756682170170 → pending (?ms, ?B)
[2026-04-01T04:21:31.587Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV100-11170170 → pending (?ms, ?B)
[2026-04-01T04:21:31.587Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV104-21170170 → pending (?ms, ?B)
[2026-04-01T04:21:31.587Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV84-11170170 → pending (?ms, ?B)
[2026-04-01T04:21:31.587Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV83-11170170 → pending (?ms, ?B)
[2026-04-01T04:21:31.588Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV103-11170170 → pending (?ms, ?B)
[2026-04-01T04:21:31.588Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV104-11170170 → pending (?ms, ?B)
[2026-04-01T04:21:31.588Z] GET https://www.cupertinoflorist.com/lafscom/images/other/aifd.gif → pending (?ms, ?B)
[2026-04-01T04:21:31.588Z] GET https://www.cupertinoflorist.com/lafscom/images/other/yelp.gif → pending (?ms, ?B)
[2026-04-01T04:21:31.588Z] GET https://www.cupertinoflorist.com/lafscom/images/other/visa.gif → pending (?ms, ?B)
[2026-04-01T04:21:31.588Z] GET https://www.cupertinoflorist.com/lafscom/images/other/mc.gif → pending (?ms, ?B)
[2026-04-01T04:21:31.588Z] GET https://www.cupertinoflorist.com/lafscom/images/other/amex.gif → pending (?ms, ?B)
[2026-04-01T04:21:31.588Z] GET https://www.cupertinoflorist.com/lafscom/images/other/disc.gif → pending (?ms, ?B)
[2026-04-01T04:21:31.588Z] GET https://www.cupertinoflorist.com/images/storefront.jpg → pending (?ms, ?B)
[2026-04-01T04:21:31.588Z] GET https://www.cupertinoflorist.com/lafscom/images/other/genuinelocalflorists.gif → pending (?ms, ?B)
[2026-04-01T04:21:31.588Z] GET https://cdn.ywxi.net/js/1.js → 200 (253ms, 21292B)
[2026-04-01T04:21:31.719Z] GET https://www.cupertinoflorist.com/images/other/season00/background.jpg → 200 (100ms, 725B)
[2026-04-01T04:21:31.790Z] GET https://ssl.google-analytics.com/ga.js → 200 (157ms, 46274B)
[2026-04-01T04:21:31.843Z] GET https://s3-us-west-2.amazonaws.com/mfesecure-public/host/cupertinoflorist.com/client.json?source=jsmain → 403 (170ms, 263B)
[2026-04-01T04:21:31.843Z] GET https://s3-us-west-2.amazonaws.com/mfesecure-public/host/cupertinoflorist.com/client.json?source=jsinline → 403 (166ms, 263B)
[2026-04-01T04:21:31.959Z] GET https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=752683671&utmhn=www.cupertinoflorist.com&utmcs=UTF-8&utmsr=1280x720&utmvp=1280x720&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Products%20-%20Birthday%2C%20Page%201%20Cupertino%20Florist%2C%20Inc%2C%20San%20Jose%2C%20CA%2095129%20-%20A%20Local%20Florist%20%2F%20Flower%20Shop&utmhid=575030933&utmr=-&utmp=%2Fproducts.aspx%3Fcategory%3D6%26page%3D1&utmht=1775017291958&utmac=UA-32244151-1&utmcc=__utma%3D153900458.1117043034.1775017292.1775017292.1775017292.1%3B%2B__utmz%3D153900458.1775017292.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=685991126&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~ → 200 (46ms, 35B)
[2026-04-01T04:24:34.042Z] GET https://www.cupertinoflorist.com/products.aspx?category=24&page=1 → pending (?ms, ?B)
[2026-04-01T04:24:34.660Z] GET https://www.cupertinoflorist.com/css/css.css → 200 (1ms, 26541B)
[2026-04-01T04:24:34.661Z] GET https://www.cupertinoflorist.com/embedflash.js → 200 (1ms, 474B)
[2026-04-01T04:24:34.662Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=ld794tzIc0p5zkL-imkClRFJoWUgTeW44tXwdTOr3O2_vk9KD5Z-Q5EvuoZpJbRawCSsARXzpPEdtML1mxz5q41OvtNV2S7Mh6tcBAKK1xI1&t=638259114740000000 → 200 (1ms, 23063B)
[2026-04-01T04:24:34.663Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=3U7VxeBzNLyX249vIBOw4sp4fxJodIQZ2agzv2NnkY5NSshYmcQkBDs26ahP5Ml2QyIX0HCh_hfc6Mun7G5iRaddzqPj97S6KGGGUVlLzKA1&t=638259114740000000 → 200 (?ms, 33253B)
[2026-04-01T04:24:34.667Z] GET https://www.cupertinoflorist.com/images/logo.gif → 200 (?ms, 4078B)
[2026-04-01T04:24:34.667Z] GET https://www.cupertinoflorist.com/lafscom/images/other/search.gif → 200 (1ms, 3073B)
[2026-04-01T04:24:34.668Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=QAe-09BLLXfitpaLClo7DdiqBgdzCJCgY7Ks_6jrESYCEN9ZpberrU528v1X4oqBYIfkXW5aEacBSrCg80pVuwos8GETsGgmHLb4rf1nGdg1&t=638259114740000000 → 200 (1ms, 43B)
[2026-04-01T04:24:34.669Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=PDtlFdKsc6NXiTLOWTtqOHkW2yCipPachvQpln9E7rLO7mC5ZjOUFYOTIRTH6t0pQDcye9Gsf5nG3iynfeOp3vo1JpRmlNqMbgBk-yKAxlo1&t=638259114740000000 → 200 (?ms, 64B)
[2026-04-01T04:24:34.669Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=dYRoCVP8SXu_xGJKzi5QtxQ4tghYKIZYJLYitFuf4JmSSRxFva46-nfLgFiMLnPQmeBzTRDMga_VvpUeOQ-nFJfg2pvJGHeYf1hyc358fe41&t=638259114740000000 → 200 (?ms, 61B)
[2026-04-01T04:24:34.669Z] GET https://www.cupertinoflorist.com/WebResource.axd?d=GO0AdwTK8bqsE4lxBjpJ2Z60u4UQnFYtjlLoWQTLjjE2onjojtbdH5kxMht8ocMae-h98IxDCqVfXugjAeky7vDXDFRH2bRXCv2G82l3_xE1&t=638259114740000000 → 200 (1ms, 60B)
[2026-04-01T04:24:34.670Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=other\products\VAL100170170 → 200 (164ms, ?B)
[2026-04-01T04:24:34.670Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV100-11170170 → 200 (262ms, ?B)
[2026-04-01T04:24:34.670Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\LOC-10762170170 → 200 (254ms, ?B)
[2026-04-01T04:24:34.670Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\1709144456682170170 → 200 (270ms, ?B)
[2026-04-01T04:24:34.670Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\LOC-10772170170 → 200 (230ms, ?B)
[2026-04-01T04:24:34.670Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV104-11170170 → 200 (317ms, ?B)
[2026-04-01T04:24:34.670Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\440952444456682170170 → 200 (414ms, ?B)
[2026-04-01T04:24:34.670Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=LAFS\EV103-11170170 → pending (?ms, ?B)
[2026-04-01T04:24:34.670Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\1009941056682170170 → pending (?ms, ?B)
[2026-04-01T04:24:34.671Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\941243970956682170170 → pending (?ms, ?B)
[2026-04-01T04:24:34.671Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\440914444456682170170 → pending (?ms, ?B)
[2026-04-01T04:24:34.671Z] GET https://www.cupertinoflorist.com/image_serve.aspx?accountname=cupertinoflorist&imageid=TEL\4409041756682170170 → pending (?ms, ?B)
[2026-04-01T04:24:34.671Z] GET https://www.cupertinoflorist.com/lafscom/images/other/aifd.gif → 200 (?ms, 1332B)
[2026-04-01T04:24:34.671Z] GET https://www.cupertinoflorist.com/lafscom/images/other/yelp.gif → 200 (?ms, 1461B)
[2026-04-01T04:24:34.671Z] GET https://www.cupertinoflorist.com/lafscom/images/other/visa.gif → 200 (?ms, 733B)
[2026-04-01T04:24:34.671Z] GET https://www.cupertinoflorist.com/lafscom/images/other/mc.gif → 200 (1ms, 1538B)
[2026-04-01T04:24:34.672Z] GET https://www.cupertinoflorist.com/lafscom/images/other/amex.gif → 200 (?ms, 1525B)
[2026-04-01T04:24:34.672Z] GET https://www.cupertinoflorist.com/lafscom/images/other/disc.gif → 200 (1ms, 1676B)
[2026-04-01T04:24:34.673Z] GET https://www.cupertinoflorist.com/images/storefront.jpg → 200 (1ms, 36275B)
[2026-04-01T04:24:34.674Z] GET https://www.cupertinoflorist.com/lafscom/images/other/genuinelocalflorists.gif → 200 (?ms, 1788B)
[2026-04-01T04:24:34.674Z] GET https://cdn.ywxi.net/js/1.js → 200 (1ms, 21292B)
[2026-04-01T04:24:34.675Z] GET https://ssl.google-analytics.com/ga.js → 200 (?ms, 46274B)
[2026-04-01T04:24:34.676Z] GET https://www.cupertinoflorist.com/images/other/season00/background.jpg → 200 (?ms, 725B)
[2026-04-01T04:24:34.678Z] GET https://s3-us-west-2.amazonaws.com/mfesecure-public/host/cupertinoflorist.com/client.json?source=jsmain → 403 (166ms, ?B)
[2026-04-01T04:24:34.679Z] GET https://s3-us-west-2.amazonaws.com/mfesecure-public/host/cupertinoflorist.com/client.json?source=jsinline → 403 (166ms, ?B)
